,Accountable & Transparent,Explainable & Interpretable,Fair with Harmful Bias Managed,Privacy Enhanced,Safe,Secure & Resilient,Valid & Reliable
RISK MITIGATION,Contract Review,Open Source,Accessibility ,Consent,Anonymouse Use,Access Control ,Data Quality
RISK MITIGATION,Data Provenance,Model Documentation ,Homogeneity,Data Collection,Antropomorphization ,Internet Access,Decision making 
RISK MITIGATION,Digital Signature,XAI,Team Diversity,Location Tracking,Approved List,Authentication ,External Audit
RISK MITIGATION,Disclosure of AI Interaction,,,Secondary Use,Blocklist ,Malware Screening,Fine Tuning
RISK MITIGATION,Human Review ,,,Sensitive/Personal Data ,Change Management,Rate-limiting ,Grounding
RISK MITIGATION,Instructions,,,,Content Moderation,Dependency Screening ,Incorporate feedback 
RISK MITIGATION,Insurance,,,,CSAM/Obsenity Removal ,Supply Chain Audit,Narrow Scope
RISK MITIGATION,Intellectual Property Removal,,,,Data Retention,,RAG
RISK MITIGATION,Inventory,,,,Decommission Process,,Refresh
RISK MITIGATION,Ownership,,,,Failure Avoidance,,RLHF
RISK MITIGATION,Prohibited Use Policy,,,,Incident Response,,System Prompt 
RISK MITIGATION,Regulated Dealings,,,,Kill Switch,,Temperature
RISK MITIGATION,System Documentation,,,,Minors,,Validation
RISK MITIGATION,Terms of Service,,,,Monitoring,,
RISK MITIGATION,Training ,,,,Redudancy,,
RISK MITIGATION,User Feedback,,,,Session Limits,,
RISK MITIGATION,User Recourse,,,,,,
