,Accountable & Transparent,Explainable & Interpretable,Fair with Harmful Bias Managed,Privacy Enhanced,Safe,Secure & Resilient,Valid & Reliable
"HUMAN FIELD TESTING/
PRIORITIZE *",Analyzing user feedback,Analyzing user feedback,Analyzing user feedback,Analyzing user feedback,Analyzing user feedback,Analyzing user feedback,Analyzing user feedback
"HUMAN FIELD TESTING/
PRIORITIZE *",Chaos testing,Chaos testing,Bias bounties,Chaos testing,Chaos testing,Chaos testing,Bias bounties
"HUMAN FIELD TESTING/
PRIORITIZE *",Focus groups,Focus groups,Chaos testing,Focus groups,Focus groups,Focus groups,Chaos testing
"HUMAN FIELD TESTING/
PRIORITIZE *",Hackathons,Hackathons,Focus groups,Hackathons,Hackathons,Hackathons,Focus groups
"HUMAN FIELD TESTING/
PRIORITIZE *",Model comparisons*,Model comparisons*,Hackathons,Human content moderation,Human content moderation,Human content moderation,Human content moderation
"HUMAN FIELD TESTING/
PRIORITIZE *",Multi-session experiments*,Multi-session experiments*,Model comparisons*,Model comparisons*,Model comparisons*,Model comparisons*,Model comparisons*
"HUMAN FIELD TESTING/
PRIORITIZE *",Participatory methods,Participatory methods,Multi-session experiments*,Multi-session experiments*,Multi-session experiments*,Multi-session experiments*,Multi-session experiments*
"HUMAN FIELD TESTING/
PRIORITIZE *",Root cause analysis*,Root cause analysis*,Participatory methods,Participatory methods,Participatory methods,Participatory methods,Participatory methods
"HUMAN FIELD TESTING/
PRIORITIZE *",Small user studies,Small user studies,Root cause analysis*,Root cause analysis*,Root cause analysis*,Root cause analysis*,Root cause analysis*
"HUMAN FIELD TESTING/
PRIORITIZE *",Stakeholder engagement and feedback*,Stakeholder engagement and feedback*,Small user studies,Small user studies,Small user studies,Small user studies,Small user studies
"HUMAN FIELD TESTING/
PRIORITIZE *",Supply chain auditing/Testing third-party dependencies,Supply chain auditing/Testing third-party dependencies,Stakeholder engagement and feedback*,Stakeholder engagement and feedback*,Stakeholder engagement and feedback*,Stakeholder engagement and feedback*,Stakeholder engagement and feedback*
"HUMAN FIELD TESTING/
PRIORITIZE *",Surveys,Surveys,Sub-sampling traffic for manually annotating,Sub-sampling traffic for manually annotating,Sub-sampling traffic for manually annotating,Sub-sampling traffic for manually annotating,Sub-sampling traffic for manually annotating
"HUMAN FIELD TESTING/
PRIORITIZE *",UI/UX studies,UI/UX studies,Supply chain auditing/Testing third-party dependencies,Supply chain auditing/Testing third-party dependencies,Supply chain auditing/Testing third-party dependencies,Supply chain auditing/Testing third-party dependencies,Supply chain auditing/Testing third-party dependencies
"HUMAN FIELD TESTING/
PRIORITIZE *",User studies,User studies,Surveys,Surveys,Surveys,Surveys,Surveys
"HUMAN FIELD TESTING/
PRIORITIZE *",,,UI/UX studies,UI/UX studies,UI/UX studies,UI/UX studies,UI/UX studies
"HUMAN FIELD TESTING/
PRIORITIZE *",,,User studies,User studies,User studies,User studies,User studies
