,Accountable & Transparent,Explainable & Interpretable,Fair with Harmful Bias Managed,Privacy Enhanced,Safe,Secure & Resilient,Valid & Reliable
RISK MITIGATION,Contract Review,Model Documentation ,Accessibility ,Data Collection,Anonymouse Use,Authentication ,System Prompt 
RISK MITIGATION,Disclosure of AI Interaction,,,Location Tracking,Antropomorphization ,,Temperature
RISK MITIGATION,Human Review ,,,Secondary Use,Approved List,,
RISK MITIGATION,Instructions,,,,Change Management,,
RISK MITIGATION,Inventory,,,,Content Moderation,,
RISK MITIGATION,Ownership,,,,Decommission Process,,
RISK MITIGATION,Prohibited Use Policy,,,,Minors,,
RISK MITIGATION,Regulated Dealings,,,,,,
RISK MITIGATION,System Documentation,,,,,,
RISK MITIGATION,Terms of Service,,,,,,
RISK MITIGATION,User Feedback,,,,,,
